LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_1_LT05_024030_20031002,111106,2003-10-02,-99,222.54599753851144,270.5682389566038,419.80251746224747,155.66544459556076,47.56480653572284,26.58049311514177,4053.650074321272,-99,l5,64,0,2003,555,Oct,275,"(2002,2005]",WI,9,Fall (so)
1_1_LT05_024030_20031018,111106,2003-10-18,-99,301.44913722220645,287.0567466149018,518.6301527331881,148.03993954813913,58.3155457455982,33.03463199661695,4083.6166856271184,-99,l5,64,0,2003,546,Oct,291,"(2002,2005]",WI,8,Fall (so)
1_1_LT05_024030_20031119,111106,2003-11-19,-99,220.55749509820927,243.82010722098858,322.41117425224496,80.55033223377683,-6.200859413066206,-17.952514897774844,3944.536728453844,-99,l5,64,0,2003,556,Nov,323,"(2002,2005]",WI,9,NA
1_1_LT05_024030_20040310,111106,2004-03-10,-99,1158.3210231109238,1111.3700080354815,1244.041125186465,720.8614952184387,169.91330966692857,116.14040284622034,3852.2460285945913,-99,l5,64,0,2004,547,Mar,70,"(2002,2005]",WI,8,NA
1_1_LT05_024030_20040427,111106,2004-04-27,-99,432.8068055463886,422.8621852357187,609.8640086365732,300.39622485734395,168.96719397512794,117.10573806724862,4033.721958705297,-99,l5,64,0,2004,548,Apr,118,"(2002,2005]",WI,8,Spring (am)
1_1_LT05_024030_20040614,111106,2004-06-14,-99,306.46645785893656,337.68607317836967,525.6348005386155,351.55575256138445,71.83436267037703,48.80501642896887,4224.641952780292,-99,l5,64,0,2004,553,Jun,166,"(2002,2005]",WI,9,Summer (jja)
1_1_LT05_024030_20040630,111106,2004-06-30,-99,377.0020847293609,362.557420662705,490.6337966951737,425.243005995652,115.69484390918105,76.0214734421435,4251.046542136117,-99,l5,64,0,2004,547,Jun,182,"(2002,2005]",WI,8,Summer (jja)
1_1_LT05_024030_20040902,111106,2004-09-02,-99,336.62900927055773,366.7073317264141,642.0355474377124,250.38376033188706,54.72561397638565,54.40352099952976,4261.220018518471,-99,l5,64,0,2004,551,Sep,246,"(2002,2005]",WI,9,Fall (so)
1_1_LT05_024030_20040918,111106,2004-09-18,-99,465.43045361951226,520.145365664624,756.013052487251,489.54660613234864,227.4067649021527,140.41502917894138,4139.793355290799,-99,l5,64,0,2004,554,Sep,262,"(2002,2005]",WI,9,Fall (so)
1_1_LT05_024030_20041004,111106,2004-10-04,-99,307.4702570010897,400.9951890352875,628.9602556258997,202.4646551127017,21.81987115601727,27.501100497282373,4101.639528630591,-99,l5,64,0,2004,556,Oct,278,"(2002,2005]",WI,9,Fall (so)
1_1_LT05_024030_20050414,111106,2005-04-14,-99,270.4040620285984,283.96351952864524,400.8864662167088,147.08705106952618,61.91182954739817,21.98451849478945,4083.6166856271184,-99,l5,64,0,2005,552,Apr,104,"(2002,2005]",WI,9,Spring (am)
1_1_LT05_024030_20050719,111106,2005-07-19,-99,310.48232445716314,367.2261647574735,602.8326786107107,207.24907432675099,48.458517958677184,47.873580201623874,4367.612529913364,-99,l5,64,0,2005,554,Jul,200,"(2002,2005]",WI,9,Summer (jja)
1_1_LT05_024030_20050905,111106,2005-09-05,-99,473.0931624927506,394.7542544980556,701.4736391444176,494.42991061027186,112.9267661942776,45.082096435729184,4242.914907066894,-99,l5,64,0,2005,536,Sep,248,"(2002,2005]",WI,8,Fall (so)
1_1_LT05_024030_20050921,111106,2005-09-21,-99,482.80827788074333,489.73208854399905,725.6970423545715,449.5663032206732,229.3478275362698,141.3921348838875,4206.401155658663,-99,l5,64,0,2005,550,Sep,264,"(2002,2005]",WI,9,Fall (so)
1_1_LT05_024030_20060417,111106,2006-04-17,-99,397.76253625441285,455.73187838671384,602.8326786107107,275.3674853763062,148.7217314690448,86.44853739527271,4093.6254061642358,-99,l5,64,0,2006,557,Apr,107,"(2005,2008]",WI,9,Spring (am)
1_1_LT05_024030_20060604,111106,2006-06-04,-99,344.6893303972159,335.61563675510934,524.6340004326339,284.0261857226989,125.87503135398738,106.5129457005566,4297.9267129165455,-99,l5,64,0,2006,547,Jun,155,"(2005,2008]",WI,8,Summer (jja)
1_1_LT05_024030_20060706,111106,2006-07-06,-99,780.0032343108309,791.6741001981368,1013.3025783314561,1124.064632207962,175.59834086050327,67.53261304077827,4297.9267129165455,-99,l5,64,0,2006,552,Jul,187,"(2005,2008]",WI,9,Summer (jja)
1_1_LT05_024030_20060908,111106,2006-09-08,-99,325.5577374038497,318.0304426395806,466.6652359169292,338.9898759174268,67.31816531119956,47.873580201623874,4224.641952780292,-99,l5,64,0,2006,548,Sep,251,"(2005,2008]",WI,8,Fall (so)
1_1_LT05_024030_20060924,111106,2006-09-24,-99,259.41386374520596,287.0567466149018,431.7579374904911,206.2920573051346,65.51446538178558,21.066736028789126,4131.749060669654,-99,l5,64,0,2006,553,Sep,267,"(2005,2008]",WI,9,Fall (so)
1_1_LT05_024030_20061213,111106,2006-12-13,-99,390.16180512048595,297.3729432368425,408.84912274398505,170.92923985583417,36.87123561913431,48.80501642896887,3809.347451078679,-99,l5,64,0,2006,501,Dec,347,"(2005,2008]",WI,6,NA
1_1_LT05_024030_20070319,111106,2007-03-19,-99,571.2142176703079,487.6372154594516,629.965775036176,331.2626222617901,174.64984315648238,101.71687285360146,3852.2460285945913,-99,l5,64,0,2007,516,Mar,78,"(2005,2008]",WI,7,NA
1_1_LT05_024030_20070420,111106,2007-04-20,-99,303.4557304620914,293.2454603417119,406.85818634461054,206.2920573051346,102.80771706312525,53.4692598560445,4083.6166856271184,-99,l5,64,0,2007,547,Apr,110,"(2005,2008]",WI,8,Spring (am)
1_1_LT05_024030_20070810,111106,2007-08-10,-99,265.40684228029363,244.8478354285599,466.6652359169292,234.07258622974342,47.56480653572284,15.569928439278135,4324.517099225553,-99,l5,64,0,2007,544,Aug,222,"(2005,2008]",WI,8,Summer (jja)
1_1_LT05_024030_20070826,111106,2007-08-26,-99,210.62168319284035,242.79246270061347,413.8272578561248,208.20615793777068,33.319416045446324,19.23258355485861,4261.220018518471,-99,l5,64,0,2007,553,Aug,238,"(2005,2008]",WI,9,Summer (jja)
1_1_LT05_024030_20070911,111106,2007-09-11,-99,388.13600436499456,431.20217721730745,638.0115639237191,298.4693390592777,82.71373054014778,55.33825296237175,4214.504206581241,-99,l5,64,0,2007,554,Sep,254,"(2005,2008]",WI,9,Fall (so)
1_1_LT05_024030_20070927,111106,2007-09-27,-99,369.9238984539974,414.527549234686,683.323239592796,257.10571964852784,67.31816531119956,22.902771780146495,4167.998408721434,-99,l5,64,0,2007,552,Sep,270,"(2005,2008]",WI,9,Fall (so)
1_1_LT05_024030_20080508,111106,2008-05-08,-99,340.65827646106794,322.16595950554523,474.65185198908586,251.34384046605447,117.5422140626336,80.75398567594246,4139.793355290799,-99,l5,64,0,2008,545,May,129,"(2005,2008]",WI,8,Spring (am)
1_1_LT05_024030_20080711,111106,2008-07-11,-99,436.87850794579674,515.9462465295559,664.180434851486,528.6596545380319,254.7261505211558,200.88007660343774,4242.914907066894,-99,l5,64,0,2008,559,Jul,193,"(2005,2008]",WI,9,Summer (jja)
1_1_LT05_024030_20081031,111106,2008-10-31,-99,339.65079215603686,274.68835737846973,401.88163945987765,223.52855187293235,63.71235346051844,34.88290905124884,4023.772788473686,-99,l5,64,0,2008,518,Oct,305,"(2005,2008]",WI,7,Fall (so)
1_1_LT05_024030_20090409,111106,2009-04-09,-99,303.4557304620914,267.47902885576434,388.9479267769036,189.07713770400017,85.44250505341654,57.209129346125835,3974.1758130794005,-99,l5,64,0,2009,536,Apr,99,"(2008,2011]",WI,8,Spring (am)
1_1_LT05_024030_20090628,111106,2009-06-28,-99,419.58611246037333,480.3077958102154,604.8414031570419,473.93121882274573,292.30030012955666,244.55573096788862,4287.717506350887,-99,l5,64,0,2009,558,Jun,179,"(2008,2011]",WI,9,Summer (jja)
1_1_LT05_024030_20090815,111106,2009-08-15,-99,359.82169586110757,298.4050231786156,466.6652359169292,415.5253402512179,57.41746730023999,43.22346135524962,4306.101224205733,-99,l5,64,0,2009,530,Aug,227,"(2008,2011]",WI,7,Summer (jja)
1_1_LT05_024030_20091103,111106,2009-11-03,-99,229.50927373504337,178.21957130449758,286.7442140181099,108.07595692262178,27.119016369905836,35.80775380759985,3974.1758130794005,-99,l5,64,0,2009,520,Nov,307,"(2008,2011]",WI,7,NA
1_1_LT05_024030_20091205,111106,2009-12-05,-99,668.7887075683811,466.7068957971385,629.965775036176,351.55575256138445,121.24171839397926,112.28377015567429,3830.772721213414,-99,l5,64,0,2009,491,Dec,339,"(2008,2011]",WI,5,NA
1_1_LT05_024030_20100514,111106,2010-05-14,-99,458.2842593383097,474.02869991152147,652.0986826775094,316.78550832953755,138.90110891289316,112.28377015567429,4073.6178901409185,-99,l5,64,0,2010,552,May,134,"(2008,2011]",WI,9,Spring (am)
1_1_LT05_024030_20100530,111106,2010-05-30,-99,386.11065029591265,310.79651008119566,499.62874560901304,346.72139129487357,100.97305097484755,75.07638345345384,4314.282087527508,-99,l5,64,0,2010,526,May,150,"(2008,2011]",WI,7,Spring (am)
